PumpID,Pump Name,Brand,Review,Rating,City,State,Latitude,Longitude
AP001,Sai Fuel Station,Indian Oil,Good service,3,Visakhapatnam,Andhra Pradesh,17.6868,83.2185
AP002,RK Petrol Pump,HP,Quick & clean,4,Visakhapatnam,Andhra Pradesh,17.688,83.221
AP003,VSP Fuel Hub,Bharat Petroleum,Friendly staff,4.3,Visakhapatnam,Andhra Pradesh,17.6895,83.215
AP004,Galaxy Fuel,Reliance,Nice amenities,4.1,Visakhapatnam,Andhra Pradesh,17.6872,83.217
AP005,Star Petrol,Indian Oil,Smooth refueling,4,Visakhapatnam,Andhra Pradesh,17.685,83.2205
AP006,Krishna Petrol,HP,Clean pumps,4.1,Vijayawada,Andhra Pradesh,16.5062,80.648
AP007,Andhra Fuel,Indian Oil,Helpful staff,4,Vijayawada,Andhra Pradesh,16.5075,80.6495
AP008,Green Pump,Bharat Petroleum,Quick service,4.2,Vijayawada,Andhra Pradesh,16.505,80.647
AP009,Mega Fuel,Reliance,Easy access,4,Vijayawada,Andhra Pradesh,16.5085,80.65
AP010,Sunshine Petrol,Indian Oil,Good facilities,4.3,Vijayawada,Andhra Pradesh,16.5068,80.6485
AP011,Guntur Fuel Hub,HP,Friendly staff,4.1,Guntur,Andhra Pradesh,16.3067,80.4365
AP012,Lakshmi Petrol,Indian Oil,Clean pumps,4,Guntur,Andhra Pradesh,16.308,80.437
AP013,Royal Fuel,Bharat Petroleum,Quick & smooth,4.2,Guntur,Andhra Pradesh,16.3075,80.435
AP014,Star Fuel Station,Reliance,Good service,4.1,Guntur,Andhra Pradesh,16.309,80.438
AP015,Crystal Pump,Indian Oil,Easy access,4,Guntur,Andhra Pradesh,16.306,80.436
AP016,Kakinada Fuel,HP,Quick & clean,4.1,Kakinada,Andhra Pradesh,16.9891,82.2475
AP017,East Petrol Pump,Indian Oil,Helpful staff,4,Kakinada,Andhra Pradesh,16.988,82.245
AP018,Ocean Fuel,Bharat Petroleum,Friendly service,4.2,Kakinada,Andhra Pradesh,16.99,82.248
AP019,Royal Pump,Reliance,Clean pumps,4.1,Kakinada,Andhra Pradesh,16.9875,82.246
AP020,Galaxy Fuel,Indian Oil,Smooth refueling,4,Kakinada,Andhra Pradesh,16.9895,82.247
AP021,Rajahmundry Fuel,HP,Quick service,4.2,Rajahmundry,Andhra Pradesh,17.0058,81.7776
AP022,Godavari Petrol,Indian Oil,Friendly staff,4.1,Rajahmundry,Andhra Pradesh,17.0065,81.776
AP023,Crystal Pump,Bharat Petroleum,Clean & fast,4,Rajahmundry,Andhra Pradesh,17.004,81.7785
